Metric,Value
timing__setup__wns__corner:min_ss_100C_1v60,-1.932573267227692
timing__hold_vio__count__corner:min_ss_100C_1v60,0
timing__hold_r2r__ws__corner:min_ss_100C_1v60,0.921396
timing__hold_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__setup_vio__count__corner:min_ss_100C_1v60,7
timing__setup_r2r__ws__corner:min_ss_100C_1v60,2.587662
timing__setup_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__unannotated_net__count__corner:min_ss_100C_1v60,61
timing__unannotated_net_filtered__count__corner:min_ss_100C_1v60,0
design__max_slew_violation__count__corner:min_ff_n40C_1v95,34
design__max_fanout_violation__count__corner:min_ff_n40C_1v95,57
design__max_cap_violation__count__corner:min_ff_n40C_1v95,1
clock__skew__worst_hold__corner:min_ff_n40C_1v95,-0.3072920616053892
clock__skew__worst_setup__corner:min_ff_n40C_1v95,0.31539119431024004
timing__hold__ws__corner:min_ff_n40C_1v95,0.12065793150567673
timing__setup__ws__corner:min_ff_n40C_1v95,7.003460232198711
timing__hold__tns__corner:min_ff_n40C_1v95,0.0
timing__setup__tns__corner:min_ff_n40C_1v95,0.0
timing__hold__wns__corner:min_ff_n40C_1v95,0
timing__setup__wns__corner:min_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:min_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:min_ff_n40C_1v95,0.120658
timing__hold_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_vio__count__corner:min_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:min_ff_n40C_1v95,14.920879
timing__setup_r2r_vio__count__corner:min_ff_n40C_1v95,0
timing__unannotated_net__count__corner:min_ff_n40C_1v95,61
timing__unannotated_net_filtered__count__corner:min_ff_n40C_1v95,0
design__max_slew_violation__count__corner:max_tt_025C_1v80,1280
design__max_fanout_violation__count__corner:max_tt_025C_1v80,57
design__max_cap_violation__count__corner:max_tt_025C_1v80,7
clock__skew__worst_hold__corner:max_tt_025C_1v80,-0.3467945750948769
clock__skew__worst_setup__corner:max_tt_025C_1v80,0.3655254813399815
timing__hold__ws__corner:max_tt_025C_1v80,0.34199033462011885
timing__setup__ws__corner:max_tt_025C_1v80,3.522469526875114
timing__hold__tns__corner:max_tt_025C_1v80,0.0
timing__setup__tns__corner:max_tt_025C_1v80,0.0
timing__hold__wns__corner:max_tt_025C_1v80,0
timing__setup__wns__corner:max_tt_025C_1v80,0.0
timing__hold_vio__count__corner:max_tt_025C_1v80,0
timing__hold_r2r__ws__corner:max_tt_025C_1v80,0.341990
timing__hold_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__setup_vio__count__corner:max_tt_025C_1v80,0
timing__setup_r2r__ws__corner:max_tt_025C_1v80,9.665533
timing__setup_r2r_vio__count__corner:max_tt_025C_1v80,0
timing__unannotated_net__count__corner:max_tt_025C_1v80,61
timing__unannotated_net_filtered__count__corner:max_tt_025C_1v80,0
design__max_slew_violation__count__corner:max_ss_100C_1v60,9045
design__max_fanout_violation__count__corner:max_ss_100C_1v60,57
design__max_cap_violation__count__corner:max_ss_100C_1v60,28
clock__skew__worst_hold__corner:max_ss_100C_1v60,-0.4094264765328267
clock__skew__worst_setup__corner:max_ss_100C_1v60,0.44143265292573197
timing__hold__ws__corner:max_ss_100C_1v60,0.9309153711381307
timing__setup__ws__corner:max_ss_100C_1v60,-3.479431952152939
timing__hold__tns__corner:max_ss_100C_1v60,0.0
timing__setup__tns__corner:max_ss_100C_1v60,-22.41282955999973
timing__hold__wns__corner:max_ss_100C_1v60,0
timing__setup__wns__corner:max_ss_100C_1v60,-3.479431952152939
timing__hold_vio__count__corner:max_ss_100C_1v60,0
timing__hold_r2r__ws__corner:max_ss_100C_1v60,0.930915
timing__hold_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__setup_vio__count__corner:max_ss_100C_1v60,8
timing__setup_r2r__ws__corner:max_ss_100C_1v60,0.818387
timing__setup_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__unannotated_net__count__corner:max_ss_100C_1v60,61
timing__unannotated_net_filtered__count__corner:max_ss_100C_1v60,0
design__max_slew_violation__count__corner:max_ff_n40C_1v95,93
design__max_fanout_violation__count__corner:max_ff_n40C_1v95,57
design__max_cap_violation__count__corner:max_ff_n40C_1v95,5
clock__skew__worst_hold__corner:max_ff_n40C_1v95,-0.32203493561094854
clock__skew__worst_setup__corner:max_ff_n40C_1v95,0.33146938909643275
timing__hold__ws__corner:max_ff_n40C_1v95,0.11687329212999513
timing__setup__ws__corner:max_ff_n40C_1v95,6.357310413592505
timing__hold__tns__corner:max_ff_n40C_1v95,0.0
timing__setup__tns__corner:max_ff_n40C_1v95,0.0
timing__hold__wns__corner:max_ff_n40C_1v95,0
timing__setup__wns__corner:max_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:max_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:max_ff_n40C_1v95,0.116873
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,14.608237
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count__corner:max_ff_n40C_1v95,61
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count,61
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_tt_025C_1v80,1.79994
design_powergrid__drop__average__net:VPWR__corner:nom_tt_025C_1v80,1.8
design_powergrid__drop__worst__net:VPWR__corner:nom_tt_025C_1v80,0.0000583034
design_powergrid__voltage__worst__net:VGND__corner:nom_tt_025C_1v80,0.0000627171
design_powergrid__drop__average__net:VGND__corner:nom_tt_025C_1v80,0.0000027214
design_powergrid__drop__worst__net:VGND__corner:nom_tt_025C_1v80,0.0000627171
design_powergrid__voltage__worst,0.0000627171
